DatasetID	PortalURI	NumMatchingSubjects	AvailableImageModalites	sessions	tasks	fmriprep	mriqc
ds000113	https://github.com/OpenNeuroDatasets/ds000113	37	['anat', 'dwi', 'fmap', 'func']	['auditoryperception', 'forrestgump', 'localizer', 'movie', 'r08', 'r14', 'r20', 'r30']	['auditoryperception', 'coverage', 'forrestgump', 'movie', 'movielocalizer', 'objectcategories', 'orientation', 'retmapccw', 'retmapclw', 'retmapcon', 'retmapexp']	False	False
ds000114	https://github.com/OpenNeuroDatasets/ds000114	10	['anat', 'dwi', 'func']	['retest', 'test']	['covertverbgeneration', 'fingerfootlips', 'linebisection', 'overtverbgeneration', 'overtwordrepetition']	https://github.com/OpenNeuroDerivatives/ds000114-fmriprep	https://github.com/OpenNeuroDerivatives/ds000114-mriqc
ds000115	https://github.com/OpenNeuroDatasets/ds000115	99	['anat', 'func']	[]	['letter0backtask', 'letter1backtask', 'letter2backtask']	https://github.com/OpenNeuroDerivatives/ds000115-fmriprep	https://github.com/OpenNeuroDerivatives/ds000115-mriqc
ds000116	https://github.com/OpenNeuroDatasets/ds000116	17	['anat', 'func']	[]	['auditoryoddballwithbuttonresponsetotargetstimuli', 'visualoddballwithbuttonresponsetotargetstimuli']	False	https://github.com/OpenNeuroDerivatives/ds000116-mriqc
ds000117	https://github.com/OpenNeuroDatasets/ds000117	17	['anat', 'beh', 'dwi', 'fmap', 'func', 'meg']	['20090409', '20090506', '20090511', '20090515', '20090518', '20090601', '20091126', '20091208', 'meg', 'mri']	['facerecognition', 'noise']	https://github.com/OpenNeuroDerivatives/ds000117-fmriprep	https://github.com/OpenNeuroDerivatives/ds000117-mriqc
ds000119	https://github.com/OpenNeuroDatasets/ds000119	73	['anat', 'func']	[]	['visualguidedsaccade']	False	https://github.com/OpenNeuroDerivatives/ds000119-mriqc
ds000120	https://github.com/OpenNeuroDatasets/ds000120	26	['anat', 'func']	[]	['antisaccadetaskwithfixedorder']	https://github.com/OpenNeuroDerivatives/ds000120-fmriprep	https://github.com/OpenNeuroDerivatives/ds000120-mriqc
ds000121	https://github.com/OpenNeuroDatasets/ds000121	28	['anat', 'beh', 'func']	[]	['incentiveantisaccade']	False	https://github.com/OpenNeuroDerivatives/ds000121-mriqc
ds000122	https://github.com/OpenNeuroDatasets/ds000122	17	['anat', 'func']	[]	['visualattentiontask']	False	https://github.com/OpenNeuroDatasets/ds000122/tree/main/derivatives/mriqc
ds000133	https://github.com/OpenNeuroDatasets/ds000133	26	['anat', 'func']	['post', 'pre']	['rest']	False	https://github.com/OpenNeuroDerivatives/ds000133-mriqc
ds000138	https://github.com/OpenNeuroDatasets/ds000138	16	['func']	[]	['postheatstimulation', 'preheatstimulation']	False	False
ds000140	https://github.com/OpenNeuroDatasets/ds000140	33	['anat', 'func']	[]	['heatpainwithregulationandratings']	False	https://github.com/OpenNeuroDerivatives/ds000140-mriqc
ds000144	https://github.com/OpenNeuroDatasets/ds000144	45	['anat', 'func']	[]	['emotionalfaces']	https://github.com/OpenNeuroDerivatives/ds000144-fmriprep	https://github.com/OpenNeuroDerivatives/ds000144-mriqc
ds000148	https://github.com/OpenNeuroDatasets/ds000148	49	['anat', 'func']	[]	['figure2backwith1backlures']	https://github.com/OpenNeuroDerivatives/ds000148-fmriprep	https://github.com/OpenNeuroDerivatives/ds000148-mriqc
ds000149	https://github.com/OpenNeuroDatasets/ds000149	15	['anat', 'func']	[]	['picturemanualresponse', 'picturenback']	False	False
ds000157	https://github.com/OpenNeuroDatasets/ds000157	30	['anat', 'func']	[]	['passiveimageviewing']	https://github.com/OpenNeuroDerivatives/ds000157-fmriprep	https://github.com/OpenNeuroDerivatives/ds000157-mriqc
ds000158	https://github.com/OpenNeuroDatasets/ds000158	217	['anat', 'func']	[]	['passivelistening']	False	False
ds000164	https://github.com/OpenNeuroDatasets/ds000164	28	['anat', 'func']	[]	['stroop']	False	https://github.com/OpenNeuroDatasets/ds000164/tree/main/derivatives/mriqc
ds000168	https://github.com/OpenNeuroDatasets/ds000168	35	['anat', 'func']	[]	['OP']	False	https://github.com/OpenNeuroDerivatives/ds000168-mriqc
ds000170	https://github.com/OpenNeuroDatasets/ds000170	15	['anat', 'func']	[]	['TrainedHandTrainedSequence', 'TrainedHandUntrainedSequence', 'UntrainedHandTrainedSequence', 'UntrainedHandUntrainedSequence']	https://github.com/OpenNeuroDerivatives/ds000170-fmriprep	https://github.com/OpenNeuroDerivatives/ds000170-mriqc
ds000171	https://github.com/OpenNeuroDatasets/ds000171	39	['anat', 'func']	[]	['music', 'nonmusic']	https://github.com/OpenNeuroDerivatives/ds000171-fmriprep	https://github.com/OpenNeuroDerivatives/ds000171-mriqc
ds000172	https://github.com/OpenNeuroDatasets/ds000172	13	['anat', 'fmap', 'func']	[]	['rest']	False	False
ds000174	https://github.com/OpenNeuroDatasets/ds000174	42	['anat']	['BL', 'FU']	[]	False	https://github.com/OpenNeuroDatasets/ds000174/tree/main/derivatives/mriqc
ds000200	https://github.com/OpenNeuroDatasets/ds000200	14	['anat', 'func']	[]	['olfactory']	False	False
ds000201	https://github.com/OpenNeuroDatasets/ds000201	86	['anat', 'beh', 'dwi', 'fmap', 'func']	['1', '2']	['PVT', 'arrows', 'faces', 'hands', 'rest', 'sleepiness', 'workingmemorytest']	False	https://github.com/OpenNeuroDatasets/ds000201/tree/main/derivatives/mriqc
ds000202	https://github.com/OpenNeuroDatasets/ds000202	95	['anat']	[]	[]	False	False
ds000203	https://github.com/OpenNeuroDatasets/ds000203	26	['anat', 'func']	[]	['visualimageryfalsememory']	https://github.com/OpenNeuroDerivatives/ds000203-fmriprep	https://github.com/OpenNeuroDerivatives/ds000203-mriqc
ds000204	https://github.com/OpenNeuroDatasets/ds000204	1	['anat', 'func']	['2011', '2015']	['rest']	False	False
ds000205	https://github.com/OpenNeuroDatasets/ds000205	11	['anat', 'func']	[]	['functionallocalizer', 'view']	https://github.com/OpenNeuroDerivatives/ds000205-fmriprep	https://github.com/OpenNeuroDerivatives/ds000205-mriqc
ds000206	https://github.com/OpenNeuroDatasets/ds000206	6	['anat', 'dwi']	['THP0001CCF1', 'THP0001DART1', 'THP0001IOWA1', 'THP0001IOWA2', 'THP0001IOWA3', 'THP0001JHU1', 'THP0001MGH1', 'THP0001UCI1', 'THP0001UMN1', 'THP0001UW1', 'THP0002CCF1', 'THP0002DART1', 'THP0002IOWA2', 'THP0002JHU1', 'THP0002MGH1', 'THP0002UCI1', 'THP0002UMN1', 'THP0002UW1', 'THP0003CCF1', 'THP0003DART1', 'THP0003IOWA2', 'THP0003IOWA3', 'THP0003JHU1', 'THP0003MGH1', 'THP0003UCI1', 'THP0003UMN1', 'THP0003UW1', 'THP0004CCF1', 'THP0004DART1', 'THP0004IOWA1', 'THP0004IOWA2', 'THP0004IOWA3', 'THP0004IOWA4', 'THP0004IOWA5', 'THP0004IOWA6', 'THP0004JHU1', 'THP0004MGH1', 'THP0004UCI1', 'THP0004UMN1', 'THP0004UW1', 'THP0005CCF1', 'THP0005DART1', 'THP0005IOWA2', 'THP0005IOWA3', 'THP0005JHU1', 'THP0005MGH1', 'THP0005UCI1', 'THP0005UMN1', 'THP0005UW1', 'THPBALLCCF1', 'THPBALLIOWA1', 'THPBALLIOWA2', 'THPBALLMGH1', 'THPBALLUCI1', 'THPBALLUMN1']	[]	False	False
ds000208	https://github.com/OpenNeuroDatasets/ds000208	76	['anat', 'func']	[]	['rest']	https://github.com/OpenNeuroDerivatives/ds000208-fmriprep	https://github.com/OpenNeuroDerivatives/ds000208-mriqc
ds000210	https://github.com/OpenNeuroDatasets/ds000210	31	['anat', 'func']	[]	['cuedSGT', 'rest']	False	https://github.com/OpenNeuroDerivatives/ds000210-mriqc
ds000212	https://github.com/OpenNeuroDatasets/ds000212	39	['anat', 'func']	[]	['dis', 'fb', 'tom', 'tomloc']	https://github.com/OpenNeuroDerivatives/ds000212-fmriprep	https://github.com/OpenNeuroDerivatives/ds000212-mriqc
ds000213	https://github.com/OpenNeuroDatasets/ds000213	26	['anat', 'func']	[]	['socialcomparison']	https://github.com/OpenNeuroDerivatives/ds000213-fmriprep	https://github.com/OpenNeuroDerivatives/ds000213-mriqc
ds000214	https://github.com/OpenNeuroDatasets/ds000214	36	['anat', 'func']	[]	['Cyberball']	False	False
ds000216	https://github.com/OpenNeuroDatasets/ds000216	7	['anat', 'func']	[]	['rest']	False	https://github.com/OpenNeuroDatasets/ds000216/tree/main/derivatives/mriqc
ds000217	https://github.com/OpenNeuroDatasets/ds000217	41	['anat', 'beh', 'fmap', 'func']	[]	['localizer', 'picturetest', 'routelearning']	False	https://github.com/OpenNeuroDerivatives/ds000217-mriqc
ds000218	https://github.com/OpenNeuroDatasets/ds000218	19	['anat', 'func']	[]	['ONSflavourtask']	https://github.com/OpenNeuroDerivatives/ds000218-fmriprep	https://github.com/OpenNeuroDerivatives/ds000218-mriqc
ds000219	https://github.com/OpenNeuroDatasets/ds000219	21	['anat', 'func']	[]	['RPflavourtask']	False	https://github.com/OpenNeuroDerivatives/ds000219-mriqc
ds000220	https://github.com/OpenNeuroDatasets/ds000220	26	['anat', 'func']	['1', '2', '3']	['rest']	https://github.com/OpenNeuroDerivatives/ds000220-fmriprep	https://github.com/OpenNeuroDerivatives/ds000220-mriqc
ds000221	https://github.com/OpenNeuroDatasets/ds000221	318	['anat', 'dwi', 'fmap', 'func']	['01', '02']	['rest']	False	False
ds000222	https://github.com/OpenNeuroDatasets/ds000222	79	['anat', 'beh']	[]	['reversal']	False	https://github.com/OpenNeuroDatasets/ds000222/tree/main/derivatives/mriqc
ds000223	https://github.com/OpenNeuroDatasets/ds000223	19	['anat', 'fmap', 'func']	[]	['mag']	False	https://github.com/OpenNeuroDerivatives/ds000223-mriqc
ds000224	https://github.com/OpenNeuroDatasets/ds000224	10	['anat', 'fmap', 'func']	['func01', 'func02', 'func03', 'func04', 'func05', 'func06', 'func07', 'func08', 'func09', 'func10', 'func11', 'struct01', 'struct02', 'struct03']	['glasslexical', 'memoryfaces', 'memoryscenes', 'memorywords', 'motor', 'rest']	https://github.com/OpenNeuroDerivatives/ds000224-fmriprep	https://github.com/OpenNeuroDerivatives/ds000224-mriqc
ds000228	https://github.com/OpenNeuroDatasets/ds000228	155	['anat', 'func']	[]	['pixar']	https://github.com/OpenNeuroDerivatives/ds000228-fmriprep	https://github.com/OpenNeuroDerivatives/ds000228-mriqc
ds000229	https://github.com/OpenNeuroDatasets/ds000229	15	['anat', 'func']	[]	['flavor']	False	https://github.com/OpenNeuroDerivatives/ds000229-mriqc
ds000231	https://github.com/OpenNeuroDatasets/ds000231	9	['anat', 'func']	[]	['flavor']	False	https://github.com/OpenNeuroDerivatives/ds000231-mriqc
ds000232	https://github.com/OpenNeuroDatasets/ds000232	10	['anat', 'func']	['01', '02', '03', '04']	['localizer', 'main']	False	https://github.com/OpenNeuroDatasets/ds000232/tree/main/derivatives/mriqc
ds000233	https://github.com/OpenNeuroDatasets/ds000233	12	['anat', 'func']	[]	['beh', 'tax']	https://github.com/OpenNeuroDerivatives/ds000233-fmriprep	https://github.com/OpenNeuroDerivatives/ds000233-mriqc
ds000234	https://github.com/OpenNeuroDatasets/ds000234	5	['anat', 'func']	[]	['motorphotic']	False	https://github.com/OpenNeuroDatasets/ds000234/tree/main/derivatives/mriqc
ds000235	https://github.com/OpenNeuroDatasets/ds000235	4	['anat', 'func']	[]	['rest']	False	https://github.com/OpenNeuroDatasets/ds000235/tree/main/derivatives/mriqc
ds000236	https://github.com/OpenNeuroDatasets/ds000236	18	['anat', 'func']	[]	['rest']	False	https://github.com/OpenNeuroDatasets/ds000236/tree/main/derivatives/mriqc
ds000237	https://github.com/OpenNeuroDatasets/ds000237	13	['anat', 'func']	[]	['MemorySpan']	https://github.com/OpenNeuroDerivatives/ds000237-fmriprep	https://github.com/OpenNeuroDerivatives/ds000237-mriqc
ds000238	https://github.com/OpenNeuroDatasets/ds000238	35	['anat', 'beh', 'func']	[]	['med8', 'quick4n', 'quick6', 'slow10', 'slow12', 'test']	False	False
ds000239	https://github.com/OpenNeuroDatasets/ds000239	3	['anat']	[]	[]	False	False
ds000240	https://github.com/OpenNeuroDatasets/ds000240	63	['anat', 'perf']	[]	[]	False	False
ds000241	https://github.com/OpenNeuroDatasets/ds000241	12	['anat', 'func']	[]	['ak6']	False	https://github.com/OpenNeuroDerivatives/ds000241-mriqc
ds000243	https://github.com/OpenNeuroDatasets/ds000243	120	['anat', 'func']	[]	['rest']	https://github.com/OpenNeuroDerivatives/ds000243-fmriprep	https://github.com/OpenNeuroDerivatives/ds000243-mriqc
ds000244	https://github.com/OpenNeuroDatasets/ds000244	12	['anat', 'dwi', 'fmap', 'func']	['00', '01', '02', '03', '04', '05', '06', '07']	['ArchiEmotional', 'ArchiSocial', 'ArchiSpatial', 'ArchiStandard', 'HcpEmotion', 'HcpGambling', 'HcpLanguage', 'HcpMotor', 'HcpRelational', 'HcpSocial', 'HcpWm', 'RSVPLanguage00', 'RSVPLanguage01', 'RSVPLanguage02', 'RSVPLanguage03', 'RSVPLanguage04', 'RSVPLanguage05']	False	False
ds000245	https://github.com/OpenNeuroDatasets/ds000245	45	['anat', 'func']	[]	['rest']	https://github.com/OpenNeuroDerivatives/ds000245-fmriprep	https://github.com/OpenNeuroDerivatives/ds000245-mriqc
ds000246	https://github.com/OpenNeuroDatasets/ds000246	2	['anat', 'meg']	[]	['AEF', 'noise']	False	False
ds000247	https://github.com/OpenNeuroDatasets/ds000247	6	['anat', 'meg']	['01', '18901014', '18901015', '18910228', '18910303', '18910512']	['noise', 'rest']	False	False
ds000248	https://github.com/OpenNeuroDatasets/ds000248	2	['meg']	['19210819']	['noise']	False	False
ds000249	https://github.com/OpenNeuroDatasets/ds000249	26	['anat', 'fmap', 'func']	[]	['genInstrAv']	https://github.com/OpenNeuroDerivatives/ds000249-fmriprep	https://github.com/OpenNeuroDerivatives/ds000249-mriqc
ds000253	https://github.com/OpenNeuroDatasets/ds000253	20	['anat', 'func']	[]	['localizer', 'run1', 'run2', 'run3', 'run4']	False	https://github.com/OpenNeuroDerivatives/ds000253-mriqc
ds000254	https://github.com/OpenNeuroDatasets/ds000254	13	['anat', 'func']	[]	['bilateralfingertapping']	False	https://github.com/OpenNeuroDerivatives/ds000254-mriqc
ds000255	https://github.com/OpenNeuroDatasets/ds000255	2	['anat', 'func']	['01', '02', 'anat']	['viewFigure', 'viewRandom']	https://github.com/OpenNeuroDerivatives/ds000255-fmriprep	https://github.com/OpenNeuroDerivatives/ds000255-mriqc
ds000256	https://github.com/OpenNeuroDatasets/ds000256	24	['anat', 'fmap', 'func']	[]	['restbaseline', 'restfixationadaptive', 'restfixationfixed', 'restfixationnofeedback', 'restmovieadaptive', 'restmoviefixed', 'restmovienofeedback']	False	https://github.com/OpenNeuroDerivatives/ds000256-mriqc
ds000258	https://github.com/OpenNeuroDatasets/ds000258	89	['anat', 'func']	[]	['rest']	False	https://github.com/OpenNeuroDerivatives/ds000258-mriqc
ds001019	https://github.com/OpenNeuroDatasets/ds001019	35	['anat', 'func']	[]	['navlearn']	False	False
ds001021	https://github.com/OpenNeuroDatasets/ds001021	1	['anat', 'dwi', 'func']	['DS2']	['BREATHHOLD', 'CHECKERBOARD', 'rest']	False	False
ds001037	https://github.com/OpenNeuroDatasets/ds001037	1	['anat']	[]	[]	False	False
ds001105	https://github.com/OpenNeuroDatasets/ds001105	28	['anat', 'fmap', 'func']	[]	['mentalstates']	False	False
ds001110	https://github.com/OpenNeuroDatasets/ds001110	37	['anat', 'beh', 'func']	[]	['MerlinAudio', 'MerlinFreerecall', 'MerlinMovie', 'SherlockAudio', 'SherlockFreerecall', 'SherlockMovie']	False	https://github.com/OpenNeuroDerivatives/ds001110-mriqc
ds001131	https://github.com/OpenNeuroDatasets/ds001131	54	['anat', 'func']	[]	['milky', 'scrambled', 'synonyms', 'vodka']	False	https://github.com/OpenNeuroDerivatives/ds001131-mriqc
ds001132	https://github.com/OpenNeuroDatasets/ds001132	16	['anat', 'func']	[]	['freerecall', 'sherlockPart1', 'sherlockPart2']	False	https://github.com/OpenNeuroDerivatives/ds001132-mriqc
ds001145	https://github.com/OpenNeuroDatasets/ds001145	24	['anat', 'func']	[]	['watchmovie']	False	https://github.com/OpenNeuroDerivatives/ds001145-mriqc
ds001161	https://github.com/OpenNeuroDatasets/ds001161	2	['anat', 'func']	[]	['effortmixedgambles', 'efforttraining', 'probabilitymixedgambles']	False	False
ds001167	https://github.com/OpenNeuroDatasets/ds001167	40	['anat', 'func']	[]	['effortmixedgambles', 'efforttraining', 'probabilitymixedgambles']	False	False
ds001168	https://github.com/OpenNeuroDatasets/ds001168	22	['anat', 'fmap', 'func']	['1', '2']	['rest']	False	False
ds001178	https://github.com/OpenNeuroDatasets/ds001178	23	['anat', 'func']	[]	['balloonanalogrisktask', 'machinegame', 'rest', 'uknown', 'unknown']	False	https://github.com/OpenNeuroDerivatives/ds001178-mriqc
ds001218	https://github.com/OpenNeuroDatasets/ds001218	30	['anat', 'fmap', 'func']	[]	['mentalstates']	False	False
ds001226	https://github.com/OpenNeuroDatasets/ds001226	36	['anat', 'dwi', 'func']	['preop']	['rest']	https://github.com/OpenNeuroDerivatives/ds001226-fmriprep	https://github.com/OpenNeuroDerivatives/ds001226-mriqc
ds001228	https://github.com/OpenNeuroDatasets/ds001228	24	['anat', 'func']	[]	['collaborativetask']	False	https://github.com/OpenNeuroDerivatives/ds001228-mriqc
ds001229	https://github.com/OpenNeuroDatasets/ds001229	27	['anat', 'func']	[]	['em', 'wm']	False	https://github.com/OpenNeuroDerivatives/ds001229-mriqc
ds001232	https://github.com/OpenNeuroDatasets/ds001232	21	['anat', 'beh', 'func']	[]	['phase1', 'phase2', 'phase3']	False	https://github.com/OpenNeuroDerivatives/ds001232-mriqc
ds001233	https://github.com/OpenNeuroDatasets/ds001233	18	['anat', 'fmap', 'func']	['post', 'pre']	['cuedSFM']	False	https://github.com/OpenNeuroDerivatives/ds001233-mriqc
ds001235	https://github.com/OpenNeuroDatasets/ds001235	12	['anat', 'func']	[]	['1back']	False	https://github.com/OpenNeuroDerivatives/ds001235-mriqc
ds001241	https://github.com/OpenNeuroDatasets/ds001241	24	['anat', 'func']	[]	['learn']	False	https://github.com/OpenNeuroDerivatives/ds001241-mriqc
ds001242	https://github.com/OpenNeuroDatasets/ds001242	52	['anat', 'dwi', 'func']	[]	['fearlearning', 'ppalocalizer', 'spatialdetection']	https://github.com/OpenNeuroDerivatives/ds001242-fmriprep	https://github.com/OpenNeuroDerivatives/ds001242-mriqc
ds001246	https://github.com/OpenNeuroDatasets/ds001246	5	['anat', 'func']	['anatomy', 'imageryTest01', 'imageryTest02', 'imageryTest03', 'imageryTest04', 'imageryTest05', 'perceptionTest01', 'perceptionTest02', 'perceptionTest03', 'perceptionTest04', 'perceptionTest05', 'perceptionTest06', 'perceptionTraining01', 'perceptionTraining02', 'perceptionTraining03', 'perceptionTraining04', 'perceptionTraining05']	['imagery', 'perception']	False	False
ds001247	https://github.com/OpenNeuroDatasets/ds001247	43	['anat', 'fmap', 'func']	[]	['cueexposure']	False	https://github.com/OpenNeuroDerivatives/ds001247-mriqc
ds001293	https://github.com/OpenNeuroDatasets/ds001293	7	['func']	['r08', 'r14', 'r20', 'r30']	['coverage', 'orientation']	False	False
ds001297	https://github.com/OpenNeuroDatasets/ds001297	33	['anat', 'func']	[]	['faceidentityoddball']	False	https://github.com/OpenNeuroDerivatives/ds001297-mriqc
ds001299	https://github.com/OpenNeuroDatasets/ds001299	19	['anat', 'func']	['01']	['numbers']	False	https://github.com/OpenNeuroDerivatives/ds001299-mriqc
ds001302	https://github.com/OpenNeuroDatasets/ds001302	23	['anat', 'func']	[]	['learn', 'local', 'test']	False	https://github.com/OpenNeuroDerivatives/ds001302-mriqc
ds001306	https://github.com/OpenNeuroDatasets/ds001306	17	['anat', 'func']	[]	['vissearch']	False	False
ds001338	https://github.com/OpenNeuroDatasets/ds001338	22	['anat', 'func']	[]	['story1', 'story2', 'story3']	https://github.com/OpenNeuroDerivatives/ds001338-fmriprep	https://github.com/OpenNeuroDerivatives/ds001338-mriqc
ds001339	https://github.com/OpenNeuroDatasets/ds001339	14	['anat', 'func']	[]	['iaps']	False	https://github.com/OpenNeuroDerivatives/ds001339-mriqc
ds001344	https://github.com/OpenNeuroDatasets/ds001344	15	['anat', 'func']	['scan1', 'scan2']	['eyemovement', 'workingmemory']	False	https://github.com/OpenNeuroDerivatives/ds001344-mriqc
ds001345	https://github.com/OpenNeuroDatasets/ds001345	12	['anat', 'func']	[]	['memory']	https://github.com/OpenNeuroDerivatives/ds001345-fmriprep	https://github.com/OpenNeuroDerivatives/ds001345-mriqc
ds001348	https://github.com/OpenNeuroDatasets/ds001348	28	['anat', 'func']	[]	['effort1', 'effort2']	False	False
ds001353	https://github.com/OpenNeuroDatasets/ds001353	29	['anat', 'func']	[]	['knowfilt']	False	https://github.com/OpenNeuroDerivatives/ds001353-mriqc
ds001354	https://github.com/OpenNeuroDatasets/ds001354	28	['anat', 'func']	[]	['rest']	False	False
ds001357	https://github.com/OpenNeuroDatasets/ds001357	18	['anat', 'func']	[]	['familiarity', 'viewing']	False	https://github.com/OpenNeuroDerivatives/ds001357-mriqc
ds001365	https://github.com/OpenNeuroDatasets/ds001365	35	['anat']	[]	[]	False	False
ds001371	https://github.com/OpenNeuroDatasets/ds001371	47	['anat', 'fmap', 'func']	[]	['ritl']	False	https://github.com/OpenNeuroDerivatives/ds001371-mriqc
ds001378	https://github.com/OpenNeuroDatasets/ds001378	25	['anat', 'dwi']	['01', '02']	[]	False	False
ds001379	https://github.com/OpenNeuroDatasets/ds001379	1	['anat', 'fmap', 'func']	['01', '02', '03']	['encode', 'forget', 'loci', 'recall']	False	https://github.com/OpenNeuroDerivatives/ds001379-mriqc
ds001386	https://github.com/OpenNeuroDatasets/ds001386	42	['anat', 'func']	[]	['rest']	False	https://github.com/OpenNeuroDerivatives/ds001386-mriqc
